Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry
02.02.2026,"28491016, Schmiedeberg",28491016,Beobachtungsrohr,NHN92,"46,7","42,96","41,46",443,297,23,"42,27","43,73","46,47",1984 / 2025,,,,,,,,,,,,,,10037,"28491016, Schmiedeberg",1554657.32049435,7010766.17681783,430831.0,5889441.0,430831.0,5889441.0,POINT (4586191.219896794 3345195.77336533)
02.02.2026,"43483622, Piessig",43483622,FeuerlÃ¶schbrunnen,NHN16,"103,8",,,370,257,158,"100,1","101,23","102,22",1971 / 2025,,,,,,,,,,,,,,11162,"43483622, Piessig",1522938.12506859,6741917.39665694,408786.57,5725928.87,408786.57,5725928.87,POINT (4575479.589383294 3180472.300313325)
02.02.2026,"33419916, Briesen, ca. 1 km sÃ¼dwestl. UP",33419916,Beobachtungsrohr,NHN92,"44,5","-31,4","-35,4",1536,1447,1346,"29,14","30,03","31,04",1971 / 2025,,,,,,,,,,,,,,13743,"33419916, Briesen, ca. 1 km südwestl. UP",1398875.60029579,6927323.23138942,335550.0,5841451.0,335550.0,5841451.0,POINT (4494458.935911707 3290725.1280484227)
02.02.2026,"39413110, Raben SÃ¼d",39413110,Beobachtungsrohr,NHN92,"103,3","90,8","88,8",305,237,215,"100,25","100,93","101,15",2001 / 2025,,,,,,,,,,,,,,13764,"39413110, Raben Süd",1400228.68238423,6807471.95381079,333923.0,5768323.0,333923.0,5768323.0,POINT (4497881.276047558 3217648.1088351132)
02.02.2026,"39530277, Neuzelle, Bahnhof/Bergstr.",39530277,FeuerlÃ¶schbrunnen,NHN92,"40,4",,,328,286,248,"37,12","37,54","37,92",1951 / 2025,,,,,,,,,,,,,,8827,"39530277, Neuzelle, Bahnhof/Bergstr.",1630724.9923769,6816886.6776591,475957.0,5771396.0,475957.0,5771396.0,POINT (4639379.180351763 3230465.26252725)
02.02.2026,"40520981, Staakow",40520981,Beobachtungsrohr,NHN92,"69,36","54,36","52,36",876,730,635,"60,6","62,06","63,01",1978 / 2025,,,,,,,,,,,,,,14833,"40520981, Staakow",1604140.74087902,6797134.0400584,459498.0,5759362.00035071,459498.0,5759362.00035071,POINT (4623784.562981406 3217322.2306966116)
02.02.2026,"33512271, Kiehnwerder, KSP Nr. 50",33512271,Beobachtungsrohr,NHN92,"6,3",,,195,140,17,"4,35","4,9","6,13",1969 / 2025,,,,,,,,,,,,,,8492,"33512271, Kiehnwerder, KSP Nr. 50",1592440.47059071,6913127.81949414,452960.0,5830295.0,452960.0,5830295.0,POINT (4612372.756147284 3287683.491253143)
02.02.2026,"36532664, Frankfurt, SÃ¼dseite Marienkirche",36532664,Beobachtungsrohr,NHN16,"26,7",,,367,337,293,"23,03","23,33","23,77",1989 / 2025,,,,,,,,,,,,,,8832,"36532664, Frankfurt, Südseite Marienkirche",1620166.04896271,6862364.93708342,469630.0,5799271.0,469630.0,5799271.0,POINT (4631147.253675352 3257859.204185581)
02.02.2026,"42539000, GroÃ Jamno",42539000,Beobachtungsrohr,NHN16,"85,1","66,64","64,64",591,492,379,"79,19","80,18","81,31",1996 / 2025,,,,,,,,,,,,,,12350,"42539000, Groß Jamno",1621702.7960616,6748934.98794691,470156.0,5729539.0,470156.0,5729539.0,POINT (4636463.927273066 3188279.716769259)
02.02.2026,"37532735, Wiesenau, alter Bahndamm",37532735,Beobachtungsrohr,NHN92,23,,,174,125,3,"21,26","21,75","22,97",1973 / 2025,,,,,,,,,,,,,,8707,"37532735, Wiesenau, alter Bahndamm",1627758.8133706,6844929.65060062,474221.0,5788590.0,474221.0,5788590.0,POINT (4636463.848829485 3247511.4845134486)
