Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry,index_right,WERT,SHAPE_AREA,SHAPE_LEN,z_terrain,h_measured,unsat_thickness_shp,dist_measured_cm,dist_measured_m,h_calculated,h_diff,is_topmost
02.02.2026,"34522430, Gusow, GÃ¤rtnerei",34522430,Beobachtungsrohr,NHN16,13.4,7.4,5.4,342.0,257.0,159.0,9.98,10.83,11.81,1967 / 2025,,,,,,,,,,,,,,17106,"34522430, Gusow, Gärtnerei",1597776.16230853,6903070.38077776,456150.0,5824160.0,456150.0,5824160.0,POINT (456150 5824160),31369.0,3.0,11800117.0978,180225.651634,13.4,10.83,3.0,257.0,2.57,10.4,0.4299999999999997,True
02.02.2026,"28438064, ZechlinerhÃ¼tte,1300 m westl.",28438064,Beobachtungsrohr,NHN92,69.0,52.0,49.0,1319.0,1292.0,1257.0,55.81,56.08,56.43,1979 / 2025,,,,,,,,,,,,,,14185,"28438064, Zechlinerhütte,1300 m westl.",1430075.3050285,7011104.39126007,356000.0,5891310.0,356000.0,5891310.0,POINT (356000 5891310),21709.0,15.0,196055.528262,1708.47706066,69.0,56.08,15.0,1292.0,12.92,54.0,2.0799999999999983,False
02.02.2026,"32512144, NeurÃ¼dnitz",32512144,Beobachtungsrohr,NHN92,3.07,,,227.0,170.0,86.0,0.8,1.37,2.21,1970 / 2025,,,,,,,,,,,,,,8777,"32512144, Neurüdnitz",1579056.13192397,6944398.99011205,445035.0,5849313.0,445035.0,5849313.0,POINT (445035 5849313),30114.0,2.0,4270810.49241,33137.4045603,3.07,1.37,2.0,170.0,1.7,1.0699999999999998,0.30000000000000027,True
02.02.2026,"36480941, Freienbrink",36480941,Beobachtungsrohr,NHN92,37.58,28.0,27.0,449.0,383.0,293.0,33.09,33.75,34.65,1936 / 2025,,,,,,,,,,,,,,12804,"36480941, Freienbrink",1537420.5812153,6867528.71855302,419045.0,5802994.0,419045.0,5802994.0,POINT (419045 5802994),36477.0,4.0,17820231.605,229227.552616,37.58,33.75,4.0,383.0,3.83,33.58,0.1700000000000017,True
02.02.2026,"31502025, Herrenwiese,  KSP 16",31502025,Beobachtungsrohr,NHN16,2.9,-4.94,-6.94,224.0,177.0,102.0,0.66,1.13,1.88,1970 / 2025,,,,,,,,,,,,,,10259,"31502025, Herrenwiese,  KSP 16",1569621.20401038,6946151.51923625,439333.0,5850440.0,439333.0,5850440.0,POINT (439333 5850440),29926.0,2.0,16655052.0005,146632.789121,2.9,1.13,2.0,177.0,1.77,0.8999999999999999,0.22999999999999998,True
02.02.2026,"37461710, Dabendorf",37461710,Beobachtungsrohr,NHN92,38.46,18.46,16.46,317.0,259.0,186.0,35.29,35.87,36.6,1984 / 2025,,,,,,,,,,,,,,14831,"37461710, Dabendorf",1494010.08332218,6846529.43321075,392217.99999579,5790676.00035963,392217.99999579,5790676.00035963,POINT (392217.99999579 5790676.00035963),,,,,38.46,35.87,,259.0,2.59,,,False
02.02.2026,"39431423, Klausdorf SÃ¼d UP",39431423,Beobachtungsrohr,NHN92,99.4,23.8,21.8,2414.0,2383.0,2317.0,75.26,75.57,76.23,1987 / 2025,,,,,,,,,,,,,,15280,"39431423, Klausdorf Süd UP",1440628.33569084,6806712.90222615,358797.0,5767089.0,358797.0,5767089.0,POINT (358797 5767089),1578.0,30.0,28138002.4703,99452.4601383,99.4,75.57,30.0,2383.0,23.83,69.4,6.1699999999999875,False
02.02.2026,"35485391, Erkner",35485391,Beobachtungsrohr,NHN92,39.9,3.4,1.4,755.0,735.0,707.0,32.35,32.55,32.83,2009 / 2025,,,,,,,,,,,,,,10935,"35485391, Erkner",1533745.23446542,6876714.88281055,416892.0,5808632.0,416892.0,5808632.0,POINT (416892 5808632),10696.0,5.0,3776859.73119,95781.587484,39.9,32.55,5.0,735.0,7.35,34.9,2.3500000000000014,False
02.02.2026,"32502126, Bad Freienwalde, Kraftverkehr",32502126,Beobachtungsrohr,NHN92,15.9,,,982.0,805.0,753.0,6.08,7.85,8.37,1971 / 2025,,,,,,,,,,,,,,9268,"32502126, Bad Freienwalde, Kraftverkehr",1564552.85990591,6941679.59095802,436228.0,5847777.0,436228.0,5847777.0,POINT (436228 5847777),30899.0,10.0,3208680.8098,121131.865911,15.9,7.85,10.0,805.0,8.05,5.9,1.9499999999999993,False
02.02.2026,"33502245, Reichenberg, HyBtl 15/71 OP",33502245,Beobachtungsrohr,NHN92,71.8,11.39,9.39,2152.0,1996.0,1846.0,50.28,51.84,53.34,1981 / 2025,,,,,,,,,,,,,,8582,"33502245, Reichenberg, HyBtl 15/71 OP",1570376.73220303,6911845.78363393,439533.0,5829665.0,439533.0,5829665.0,POINT (439533 5829665),29920.0,30.0,20642839.2833,139733.559547,71.8,51.84,30.0,1996.0,19.96,41.8,10.040000000000006,False
