ID,Grundwasserleiter,Grundwasserdruckflaeche,is_topmost,file_path
15197,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15197.csv
15198,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15198.csv
15199,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15199.csv
152,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_152.csv
15201,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15201.csv
153,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_153.csv
154,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_154.csv
155,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_155.csv
157,lokal ausgebildeter Grundwasserk�rper,,False,data/raw/Berlin_wells/timeseries\station_157.csv
161,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_161.csv
162,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_162.csv
164,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_164.csv
165,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_165.csv
169,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_169.csv
17299,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_17299.csv
173,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_173.csv
17300,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_17300.csv
17301,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_17301.csv
17302,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_17302.csv
17303,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_17303.csv
17304,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_17304.csv
17305,Elsterzeitl. GW-Leiter (GWL 3),,False,data/raw/Berlin_wells/timeseries\station_17305.csv
17306,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_17306.csv
17308,lokal ausgebildeter Grundwasserk�rper,,False,data/raw/Berlin_wells/timeseries\station_17308.csv
17310,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_17310.csv
17311,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_17311.csv
