well_id,region,slope_m_per_year,p_value,tau,mean_level,std_level,total_change_est,count,start_date,end_date
31419709,Brandenburg,-0.015087779690189455,3.1519119374364743e-25,-0.198446108190686,31.986494299674263,0.3670916186487567,-0.38949397590361773,1228,2000-01-02,2025-10-26
34512423,Brandenburg,-0.004928318434811946,5.444209254774825e-15,-0.14954393429721083,9.759761712439417,0.16748894956717597,-0.12807556080283364,1238,2000-01-02,2025-12-28
35459952,Brandenburg,-0.025373619522622053,1.7363139474564109e-105,-0.41626789352406524,35.52554251012146,0.31793219367002923,-0.6594014962593525,1235,2000-01-02,2025-12-28
31471812,Brandenburg,0.0026194061962132764,1.3400748796763692e-09,0.11651463216908917,34.33619741100323,0.13118617366773794,0.06807228915662264,1236,2000-01-02,2025-12-28
38431551,Brandenburg,-0.007267210505372168,2.774723274933328e-13,-0.14258580496085502,42.442857142857136,0.24755694352005103,-0.18635097493036476,1183,2000-01-02,2025-08-24
37532740,Brandenburg,-0.002138466042154901,0.0021500041158938415,-0.0587273435558805,22.27379449838188,0.18336856928803777,-0.05536885245902504,1236,2000-01-02,2025-11-23
33455021,Brandenburg,-0.014494047619045594,2.211292821909162e-28,-0.21784514458478527,33.17141313742438,0.33155126931366347,-0.3741666666666144,1157,2000-01-02,2025-10-26
37431615,Brandenburg,-0.005797619047617894,2.7542680669620577e-20,-0.17621737763615183,39.121203852327454,0.1505074194976558,-0.1506666666666367,1246,2000-01-02,2025-12-28
32392350,Brandenburg,-0.004706071831212655,0.002945377572431985,-0.0565578467289275,24.679625302175666,0.4114253155830204,-0.12229988726042579,1241,2000-01-02,2025-12-28
31502039,Brandenburg,-0.010570580310363753,2.622355850076521e-96,-0.3905745104993749,1.0113022393620985,0.13807438014516277,-0.2716660845267202,1278,2000-01-02,2025-09-14
42536002,Brandenburg,-0.0010332390381900618,0.25151523271455467,-0.022914806789307282,69.74746902654867,0.24547653027683022,-0.02588118811882512,1130,2000-11-05,2025-11-23
32512151,Brandenburg,-0.012162837162837174,7.009719946973382e-46,-0.27286429848657173,2.517920065252855,0.22794993183693996,-0.31608391608391634,1226,2000-01-02,2025-12-28
32464601,Brandenburg,-0.003349611476328245,0.003938523476254296,-0.055082624358850266,47.20962287104623,0.28558380557042234,-0.08647087367638336,1233,2000-01-02,2025-10-26
29490617,Brandenburg,-0.016432591156561857,8.499261931760984e-45,-0.25788255046864844,53.4753609192922,0.3520565159497957,-0.42704491514876153,1324,2000-01-02,2025-12-28
32502105,Brandenburg,-0.007766112956810628,1.8431734430792316e-22,-0.19155965931129237,1.3681041844577282,0.22003957273447058,-0.20182325581395338,1171,2000-01-02,2025-12-28
35522580,Brandenburg,-0.02052952461369802,2.2555547979779375e-44,-0.2661291702582102,44.914475112599604,0.37935982521249734,-0.5335147094680948,1237,2000-01-02,2025-12-28
33442430,Brandenburg,-0.004738719907741091,4.249316726400431e-09,-0.11572893124490813,31.2882461406518,0.19776308737646967,-0.12314833501513603,1166,2000-01-02,2025-12-28
31439300,Brandenburg,-0.009983145043731684,2.657775252904223e-43,-0.2645314415141029,35.189849593495936,0.1870750407558915,-0.2577168367346914,1230,2000-01-02,2025-10-26
31464501,Brandenburg,-0.01148671883900165,3.042677906086211e-62,-0.31241260876933996,38.30807469142708,0.20086988725255328,-0.2985131696640757,1277,2000-01-02,2025-12-28
32502102,Brandenburg,-0.006441798941798947,5.324855379007398e-19,-0.17482507133407477,3.5288936170212764,0.21880752583837904,-0.16740740740740753,1175,2000-01-02,2025-12-28
31512063,Brandenburg,-0.011306299334468334,2.19193347826595e-19,-0.1717781667214914,3.4457894736842105,0.322847785373813,-0.29382448537378075,1235,2000-01-02,2025-12-28
39506107,Brandenburg,-0.01154857717734984,4.0475336668261197e-32,-0.21802092725419575,48.80399569247546,0.33281029083296665,-0.3001207243460772,1310,2000-01-02,2025-12-28
33470959,Brandenburg,-0.009561518324607207,3.33915994309545e-20,-0.17500076349767435,59.0746233974359,0.2544076563439201,-0.24848167539266697,1248,2000-01-02,2025-12-28
31502037,Brandenburg,-0.009861929307805587,4.190260950984718e-20,-0.17687336777436302,2.7706584362139917,0.2768578444802124,-0.25628865979381416,1215,2000-01-02,2025-12-28
37501761,Brandenburg,-0.005466326530612217,2.1013567978598656e-07,-0.09999869968162522,39.867421746293246,0.2789345315148612,-0.14205714285714213,1214,2000-01-02,2025-12-28
32512169,Brandenburg,-0.007996715927750418,1.3833043796790726e-18,-0.16741220084787806,3.0658507223113967,0.2719262012680561,-0.20781609195402317,1246,2000-01-02,2025-12-28
30429666,Brandenburg,-0.0072838107324147555,5.490990400208463e-06,-0.08945023602852387,42.84831751509922,0.3867670575683183,-0.18789340101522745,1159,2000-01-02,2025-10-19
36422930,Brandenburg,-0.0034972232860973305,9.753249456309127e-08,-0.10345050484447209,31.55606400665004,0.17753317527183862,-0.09088471849866081,1203,2000-01-02,2025-12-28
40476206,Brandenburg,-0.005610599078341036,5.599334220771533e-11,-0.12491118523033545,56.882485921158484,0.24524212427763994,-0.1458064516129038,1243,2000-01-02,2025-12-28
39431452,Brandenburg,-0.005958941406698126,7.857899300470527e-23,-0.1883665320911425,49.813641875505255,0.15997958224323544,-0.15485906045825767,1237,2000-01-02,2025-12-28
36442210,Brandenburg,-0.002668980635732497,3.0613028419834677e-07,-0.10072553934531424,29.568222506393855,0.15676237012428434,-0.06936061381074021,1173,2000-01-02,2025-12-28
39549066,Brandenburg,0.002898396646794236,0.0867535536947874,0.033007478114482014,31.373567981934876,0.45873363203332995,0.07532260361771632,1202,2000-01-02,2025-12-28
30491505,Brandenburg,-0.024739839901477708,3.0473172906597293e-118,-0.4405547960165381,44.374045124899276,0.275656850107676,-0.6429310344827553,1241,2000-01-02,2025-12-28
33442498,Brandenburg,0.0,0.4688890935493283,-0.014206268878108594,29.445190033783785,0.14728750222892886,0.0,1184,2000-01-02,2025-12-28
38532836,Brandenburg,-0.021217190189328432,5.416220272977943e-117,-0.43887834694439265,37.61987086359967,0.24851711840875676,-0.5513855421686665,1239,2000-01-02,2025-12-28
31502053,Brandenburg,-0.0037538540596094585,1.4875191918249428e-75,-0.3605517221999572,1.2434290401968826,0.08402344789721328,-0.09755395683453245,1219,2000-01-02,2025-12-28
33437090,Brandenburg,-0.00899630541871934,4.757368279943709e-09,-0.1116770946066574,30.640867098865474,0.3886321983299628,-0.23293103448276192,1234,2000-01-02,2025-11-23
31449210,Brandenburg,-0.020301919315342098,1.64252025206056e-31,-0.2179605946476839,36.154964582406166,0.45277175480897447,-0.5275997758828944,1284,2000-01-02,2025-12-28
31502091,Brandenburg,-0.02260664101706257,4.791800755091625e-58,-0.30739367836944376,2.7291761827079934,0.38533567064813234,-0.5874941451990634,1226,2000-01-02,2025-12-28
